codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;tramo_fonasa;sexo;beneficiarios
4;Coquimbo;4303;Monte Patria;Rural;D;Hombre;4616
4;Coquimbo;4303;Monte Patria;Rural;D;Mujer;2769
4;Coquimbo;4304;Punitaqui;Rural;A;Hombre;1348
4;Coquimbo;4304;Punitaqui;Rural;A;Mujer;1965
4;Coquimbo;4304;Punitaqui;Rural;B;Hombre;2388
4;Coquimbo;4304;Punitaqui;Rural;B;Indeterminado;1
4;Coquimbo;4304;Punitaqui;Rural;B;Mujer;3086
4;Coquimbo;4304;Punitaqui;Rural;C;Hombre;877
4;Coquimbo;4304;Punitaqui;Rural;C;Mujer;817
4;Coquimbo;4304;Punitaqui;Rural;D;Hombre;1786
4;Coquimbo;4304;Punitaqui;Rural;D;Mujer;1023
4;Coquimbo;4305;Río Hurtado;Rural;A;Hombre;500
4;Coquimbo;4305;Río Hurtado;Rural;A;Mujer;597
4;Coquimbo;4305;Río Hurtado;Rural;B;Hombre;894
4;Coquimbo;4305;Río Hurtado;Rural;B;Mujer;1159
4;Coquimbo;4305;Río Hurtado;Rural;C;Hombre;306
4;Coquimbo;4305;Río Hurtado;Rural;C;Mujer;196
4;Coquimbo;4305;Río Hurtado;Rural;D;Hombre;552
4;Coquimbo;4305;Río Hurtado;Rural;D;Mujer;387
5;Valparaíso;5101;Valparaíso;Urbana;A;Hombre;22677
5;Valparaíso;5101;Valparaíso;Urbana;A;Indeterminado;2
5;Valparaíso;5101;Valparaíso;Urbana;A;Mujer;27509
5;Valparaíso;5101;Valparaíso;Urbana;B;Hombre;49923
5;Valparaíso;5101;Valparaíso;Urbana;B;Mujer;68963
5;Valparaíso;5101;Valparaíso;Urbana;C;Hombre;24552
5;Valparaíso;5101;Valparaíso;Urbana;C;Mujer;21799
5;Valparaíso;5101;Valparaíso;Urbana;D;Hombre;35934
5;Valparaíso;5101;Valparaíso;Urbana;D;Indeterminado;2
5;Valparaíso;5101;Valparaíso;Urbana;D;Mujer;28118
5;Valparaíso;5102;Casablanca;Mixta;A;Hombre;1420
5;Valparaíso;5102;Casablanca;Mixta;A;Mujer;2023
5;Valparaíso;5102;Casablanca;Mixta;B;Hombre;4062
5;Valparaíso;5102;Casablanca;Mixta;B;Indeterminado;2
5;Valparaíso;5102;Casablanca;Mixta;B;Mujer;5690
5;Valparaíso;5102;Casablanca;Mixta;C;Hombre;2347
5;Valparaíso;5102;Casablanca;Mixta;C;Mujer;2177
5;Valparaíso;5102;Casablanca;Mixta;D;Hombre;3827
5;Valparaíso;5102;Casablanca;Mixta;D;Mujer;2658
5;Valparaíso;5103;Concón;Mixta;A;Hombre;2324
5;Valparaíso;5103;Concón;Mixta;A;Mujer;2976
5;Valparaíso;5103;Concón;Mixta;B;Hombre;6720
5;Valparaíso;5103;Concón;Mixta;B;Mujer;9961
5;Valparaíso;5103;Concón;Mixta;C;Hombre;3399
5;Valparaíso;5103;Concón;Mixta;C;Indeterminado;1
5;Valparaíso;5103;Concón;Mixta;C;Mujer;3541
5;Valparaíso;5103;Concón;Mixta;D;Hombre;5730
5;Valparaíso;5103;Concón;Mixta;D;Mujer;4229
5;Valparaíso;5104;Juan Fernández;Rural;A;Hombre;4
5;Valparaíso;5104;Juan Fernández;Rural;A;Mujer;9
5;Valparaíso;5104;Juan Fernández;Rural;B;Hombre;135
5;Valparaíso;5104;Juan Fernández;Rural;B;Mujer;116
5;Valparaíso;5104;Juan Fernández;Rural;C;Hombre;25
5;Valparaíso;5104;Juan Fernández;Rural;C;Mujer;16
5;Valparaíso;5104;Juan Fernández;Rural;D;Hombre;67
5;Valparaíso;5104;Juan Fernández;Rural;D;Mujer;62
5;Valparaíso;5105;Puchuncaví;Mixta;A;Hombre;1525
5;Valparaíso;5105;Puchuncaví;Mixta;A;Mujer;1988
5;Valparaíso;5105;Puchuncaví;Mixta;B;Hombre;3778
5;Valparaíso;5105;Puchuncaví;Mixta;B;Mujer;5018
5;Valparaíso;5105;Puchuncaví;Mixta;C;Hombre;1901
5;Valparaíso;5105;Puchuncaví;Mixta;C;Mujer;1599
5;Valparaíso;5105;Puchuncaví;Mixta;D;Hombre;2582
5;Valparaíso;5105;Puchuncaví;Mixta;D;Mujer;1863
5;Valparaíso;5107;Quintero;Mixta;A;Hombre;1913
5;Valparaíso;5107;Quintero;Mixta;A;Mujer;2729
5;Valparaíso;5107;Quintero;Mixta;B;Hombre;4018
5;Valparaíso;5107;Quintero;Mixta;B;Mujer;5771
5;Valparaíso;5107;Quintero;Mixta;C;Hombre;2051
5;Valparaíso;5107;Quintero;Mixta;C;Mujer;1844
5;Valparaíso;5107;Quintero;Mixta;D;Hombre;3395
5;Valparaíso;5107;Quintero;Mixta;D;Mujer;2251
5;Valparaíso;5109;Viña del Mar;Urbana;A;Hombre;17437
5;Valparaíso;5109;Viña del Mar;Urbana;A;Indeterminado;3
5;Valparaíso;5109;Viña del Mar;Urbana;A;Mujer;23677
5;Valparaíso;5109;Viña del Mar;Urbana;B;Hombre;49797
5;Valparaíso;5109;Viña del Mar;Urbana;B;Indeterminado;4
5;Valparaíso;5109;Viña del Mar;Urbana;B;Mujer;73213
5;Valparaíso;5109;Viña del Mar;Urbana;C;Hombre;25430
5;Valparaíso;5109;Viña del Mar;Urbana;C;Indeterminado;4
5;Valparaíso;5109;Viña del Mar;Urbana;C;Mujer;23224
5;Valparaíso;5109;Viña del Mar;Urbana;D;Hombre;37153
5;Valparaíso;5109;Viña del Mar;Urbana;D;Mujer;30747
5;Valparaíso;5201;Isla de Pascua;Rural;A;Hombre;448
5;Valparaíso;5201;Isla de Pascua;Rural;A;Mujer;423
5;Valparaíso;5201;Isla de Pascua;Rural;B;Hombre;618
5;Valparaíso;5201;Isla de Pascua;Rural;B;Mujer;605
5;Valparaíso;5201;Isla de Pascua;Rural;C;Hombre;356
5;Valparaíso;5201;Isla de Pascua;Rural;C;Indeterminado;1
