codigo_region;region;codigo_comuna;comuna;n_habitantes;km_2;densidad;tipo_com;clasificacion
8;Biobío;8201;LEBU;25522;560;4,55750000000000e+01;2;Mixta
8;Biobío;8202;ARAUCO;36257;957;3,78861024033438e+01;3;Rural
8;Biobío;8203;CAÑETE;34537;1087;3,17727690892364e+01;3;Rural
8;Biobío;8204;CONTULMO;6031;640;9,42343750000000e+00;3;Rural
8;Biobío;8205;CURANILAHUE;32288;1001;3,22557442557443e+01;2;Mixta
8;Biobío;8206;LOS ÁLAMOS;21035;601;3,50000000000000e+01;3;Rural
8;Biobío;8207;TIRÚA;10417;626;1,66405750798722e+01;3;Rural
8;Biobío;8301;LOS ÁNGELES;202331;1751;1,15551684751571e+02;1;Urbana
8;Biobío;8302;ANTUCO;4073;1958;2,08018386108274e+00;3;Rural
8;Biobío;8303;CABRERO;28573;657;4,34901065449011e+01;3;Rural
8;Biobío;8304;LAJA;22389;344;6,50843023255814e+01;2;Mixta
8;Biobío;8305;MULCHÉN;29627;1923;1,54066562662506e+01;2;Mixta
8;Biobío;8306;NACIMIENTO;26315;906;2,90452538631347e+01;2;Mixta
8;Biobío;8307;NEGRETE;9737;156;6,24166666666667e+01;3;Rural
8;Biobío;8308;QUILACO;3988;1126;3,54174067495559e+00;3;Rural
8;Biobío;8309;QUILLECO;9587;1123;8,53695458593054e+00;3;Rural
8;Biobío;8310;SAN ROSENDO;3412;93;3,66881720430108e+01;3;Rural
8;Biobío;8311;SANTA BÁRBARA;13773;1254;1,09832535885167e+01;3;Rural
8;Biobío;8312;TUCAPEL;14134;912;1,54978070175439e+01;3;Rural
8;Biobío;8313;YUMBEL;21198;728;2,91181318681319e+01;2;Mixta
8;Biobío;8314;ALTO BIOBÍO;5923;2127;2,78467324870710e+00;3;Rural
9;Araucanía;9101;TEMUCO;282415;467;6,04743040685225e+02;1;Urbana
9;Araucanía;9102;CARAHUE;24533;1334;1,83905547226387e+01;3;Rural
9;Araucanía;9103;CUNCO;17526;1892;9,26321353065539e+00;3;Rural
9;Araucanía;9104;CURARREHUE;7489;1169;6,40633019674936e+00;3;Rural
9;Araucanía;9105;FREIRE;24606;875;2,81211428571429e+01;3;Rural
9;Araucanía;9106;GALVARINO;11996;567;2,11569664902998e+01;3;Rural
9;Araucanía;9107;GORBEA;14414;690;2,08898550724638e+01;2;Mixta
9;Araucanía;9108;LAUTARO;38013;907;4,19106945975744e+01;2;Mixta
9;Araucanía;9109;LONCOCHE;23612;972;2,42921810699588e+01;2;Mixta
9;Araucanía;9110;MELIPEUCO;6138;1108;5,53971119133574e+00;3;Rural
9;Araucanía;9111;NUEVA IMPERIAL;32510;729;4,45953360768176e+01;2;Mixta
9;Araucanía;9112;PADRE LAS CASAS;76126;464;1,64064655172414e+02;2;Mixta
9;Araucanía;9113;PERQUENCO;6905;331;2,08610271903323e+01;3;Rural
9;Araucanía;9114;PITRUFQUÉN;24837;578;4,29705882352941e+01;2;Mixta
9;Araucanía;9115;PUCÓN;28523;1250;2,28184000000000e+01;3;Rural
9;Araucanía;9116;SAAVEDRA;12450;391;3,18414322250639e+01;3;Rural
9;Araucanía;9117;TEODORO SCHMIDT;15045;654;2,30045871559633e+01;3;Rural
9;Araucanía;9118;TOLTÉN;9722;850;1,14376470588235e+01;3;Rural
9;Araucanía;9119;VILCÚN;28151;1416;1,98806497175141e+01;3;Rural
9;Araucanía;9120;VILLARRICA;55478;1290;4,30062015503876e+01;2;Mixta
9;Araucanía;9121;CHOLCHOL;11611;429;2,70652680652681e+01;3;Rural
9;Araucanía;9201;ANGOL;53262;1195;4,45707112970711e+01;1;Urbana
9;Araucanía;9202;COLLIPULLI;24598;1309;1,87914438502674e+01;3;Rural
9;Araucanía;9203;CURACAUTÍN;17413;1659;1,04960819770946e+01;2;Mixta
9;Araucanía;9204;ERCILLA;7733;499;1,54969939879760e+01;3;Rural
9;Araucanía;9205;LONQUIMAY;10251;3937;2,60375920751841e+00;3;Rural
9;Araucanía;9206;LOS SAUCES;7265;849;8,55712603062426e+00;3;Rural
9;Araucanía;9207;LUMACO;9548;1107;8,62511291779584e+00;3;Rural
9;Araucanía;9208;PURÉN;11779;463;2,54406047516199e+01;3;Rural
9;Araucanía;9209;RENAICO;10250;265;3,86792452830189e+01;2;Mixta
9;Araucanía;9210;TRAIGUÉN;18843;897;2,10066889632107e+01;2;Mixta
9;Araucanía;9211;VICTORIA;34182;1261;2,71070578905630e+01;2;Mixta
10;Los Lagos;10101;PUERTO MONTT;245902;1673;1,46982665869695e+02;1;Urbana
10;Los Lagos;10102;CALBUCO;33985;589;5,76994906621392e+01;2;Mixta
10;Los Lagos;10103;COCHAMÓ;4023;3932;1,02314343845371e+00;3;Rural
10;Los Lagos;10104;FRESIA;12261;1276;9,60893416927900e+00;3;Rural
